日期,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/01/03,619.00,632.00,618.00,631.00,+16.00,"88,508"
111/01/04,645.00,656.00,644.00,656.00,+25.00,"106,409"
111/01/05,669.00,669.00,646.00,650.00,-6.00,"64,712"
111/01/06,638.00,646.00,636.00,644.00,-6.00,"53,430"
111/01/07,643.00,646.00,632.00,634.00,-10.00,"44,497"
111/01/10,628.00,645.00,627.00,643.00,+9.00,"33,453"
111/01/11,646.00,651.00,639.00,651.00,+8.00,"26,849"
111/01/12,657.00,660.00,650.00,660.00,+9.00,"39,164"
111/01/13,658.00,662.00,655.00,661.00,+1.00,"34,355"
111/01/14,673.00,673.00,661.00,672.00,+11.00,"83,211"
111/01/17,685.00,688.00,678.00,683.00,+11.00,"61,981"
111/01/18,678.00,681.00,662.00,662.00,-21.00,"65,357"
111/01/19,652.00,660.00,651.00,654.00,-8.00,"50,763"
111/01/20,650.00,657.00,646.00,651.00,-3.00,"39,346"
111/01/21,644.00,646.00,637.00,641.00,-10.00,"66,088"
111/01/24,639.00,655.00,637.00,653.00,+12.00,"36,231"
111/01/25,643.00,645.00,638.00,641.00,-12.00,"56,698"
111/01/26,635.00,641.00,635.00,636.00,-5.00,"35,647"
111/02/07,644.00,644.00,631.00,635.00,-1.00,"43,774"
111/02/08,645.00,645.00,628.00,628.00,-7.00,"40,026"
111/02/09,635.00,637.00,630.00,633.00,+5.00,"29,746"
111/02/10,639.00,649.00,637.00,649.00,+16.00,"28,452"
111/02/11,646.00,650.00,642.00,650.00,+1.00,"21,995"
111/02/14,640.00,641.00,635.00,637.00,-13.00,"33,928"
111/02/15,633.00,639.00,633.00,633.00,-4.00,"31,907"
111/02/16,645.00,646.00,640.00,646.00,+13.00,"23,136"
111/02/17,644.00,646.00,641.00,645.00,-1.00,"16,116"
111/02/18,638.00,639.00,636.00,637.00,-8.00,"23,892"
111/02/21,633.00,636.00,632.00,632.00,-5.00,"41,961"
111/02/22,628.00,630.00,625.00,627.00,-5.00,"68,303"
111/02/23,624.00,629.00,623.00,625.00,-2.00,"50,926"
111/02/24,618.00,619.00,604.00,604.00,-21.00,"188,248"
111/02/25,600.00,609.00,600.00,604.00, 0.00,"129,776"
111/03/01,599.00,610.00,599.00,604.00, 0.00,"67,439"
